task_id,passed,error_type,time_ms,test_count,tests_passed,complexity,output
HumanEval/0,True,None,581.0666084289551,7,7,Hard,
HumanEval/1,False,SyntaxError,475.80552101135254,4,0,Hard,"File ""/tmp/test"", line 29
    return True, ""Test 1 passed""
    ^
SyntaxError: invalid syntax"
HumanEval/2,True,None,535.1994037628174,3,3,Easy,
HumanEval/3,True,None,554.5330047607422,6,6,Medium,
HumanEval/4,True,None,461.73095703125,3,3,Easy,
HumanEval/5,True,None,462.60762214660645,3,3,Hard,
HumanEval/6,True,None,457.76891708374023,3,3,Hard,
HumanEval/7,True,None,476.6242504119873,4,4,Easy,
HumanEval/8,True,None,466.92490577697754,5,5,Medium,
HumanEval/9,True,None,493.82567405700684,4,4,Hard,
HumanEval/10,False,Other,444.500207901001,5,1,Medium,"JSON_RESULTS:{""total_tests"": 5, ""passed"": 1, ""failed"": 4, ""test_results"": [{""test_id"": 0, ""passed"": true, ""message"": ""Test 1 passed"", ""test_case"": {""assertion"": ""assert make_palindrome('jerry') == 'je"
HumanEval/11,True,None,503.0932426452637,3,3,Hard,
HumanEval/12,True,None,519.5560455322266,3,3,Hard,
HumanEval/13,True,None,461.06481552124023,4,4,Medium,
HumanEval/14,True,None,498.3479976654053,3,3,Medium,
HumanEval/15,True,None,466.6271209716797,3,3,Easy,
HumanEval/16,True,None,539.3142700195312,5,5,Easy,
HumanEval/17,True,None,489.15672302246094,5,5,Medium,
HumanEval/18,True,None,470.2785015106201,4,4,Medium,
HumanEval/19,True,None,507.1146488189697,5,5,Hard,
HumanEval/20,True,None,499.56488609313965,5,5,Hard,
HumanEval/21,True,None,529.4437408447266,5,5,Medium,
HumanEval/22,True,None,502.0170211791992,3,3,Easy,
HumanEval/23,True,None,463.6049270629883,3,3,Easy,
HumanEval/24,True,None,448.5280513763428,5,5,Medium,
HumanEval/25,True,None,481.20832443237305,8,8,Hard,
HumanEval/26,True,None,462.3117446899414,3,3,Medium,
HumanEval/27,True,None,464.4606113433838,3,3,Easy,
HumanEval/28,True,None,473.94800186157227,3,3,Easy,
HumanEval/29,True,None,510.9524726867676,2,2,Easy,
HumanEval/30,True,None,509.8295211791992,4,4,Easy,
HumanEval/31,True,None,447.53289222717285,13,13,Hard,
HumanEval/32,False,Other,448.2109546661377,1,0,Hard,"JSON_RESULTS:{""total_tests"": 1, ""passed"": 0, ""failed"": 1, ""test_results"": [{""test_id"": 0, ""passed"": false, ""message"": ""Test 1 error: name 'poly' is not defined"", ""test_case"": {""assertion"": ""assert mat"
HumanEval/33,True,None,507.0922374725342,7,7,Easy,
HumanEval/34,True,None,425.8723258972168,1,1,Easy,
HumanEval/35,True,None,424.9556064605713,2,2,Medium,
HumanEval/36,True,None,465.90256690979004,8,8,Hard,
HumanEval/37,True,None,491.78123474121094,3,3,Hard,
HumanEval/38,False,Other,507.19285011291504,1,0,Easy,"JSON_RESULTS:{""total_tests"": 1, ""passed"": 0, ""failed"": 1, ""test_results"": [{""test_id"": 0, ""passed"": false, ""message"": ""Test 1 error: name 'encoded_str' is not defined"", ""test_case"": {""assertion"": ""ass"
HumanEval/39,True,None,443.47405433654785,10,10,Hard,
HumanEval/40,True,None,504.502534866333,9,9,Hard,
HumanEval/41,True,None,449.0327835083008,5,5,Easy,
HumanEval/42,True,None,433.0940246582031,3,3,Easy,
HumanEval/43,True,None,481.8308353424072,9,9,Hard,
HumanEval/44,False,Other,440.1395320892334,7,6,Medium,"JSON_RESULTS:{""total_tests"": 7, ""passed"": 6, ""failed"": 1, ""test_results"": [{""test_id"": 0, ""passed"": true, ""message"": ""Test 1 passed"", ""test_case"": {""assertion"": ""assert change_base(x, x + 1) == str(x)"
HumanEval/45,True,None,461.63129806518555,3,3,Easy,
HumanEval/46,True,None,443.32218170166016,4,4,Hard,
HumanEval/47,True,None,458.1165313720703,5,5,Medium,
HumanEval/48,True,None,450.50859451293945,7,7,Medium,
HumanEval/49,True,None,433.4287643432617,7,7,Medium,
HumanEval/50,False,Other,520.1625823974609,1,0,Easy,"JSON_RESULTS:{""total_tests"": 1, ""passed"": 0, ""failed"": 1, ""test_results"": [{""test_id"": 0, ""passed"": false, ""message"": ""Test 1 error: name 'copy' is not defined"", ""test_case"": {""assertion"": ""assert dec"
HumanEval/51,True,None,454.2086124420166,7,7,Easy,
HumanEval/52,True,None,515.46311378479,6,6,Medium,
HumanEval/53,False,Other,433.6535930633545,6,5,Easy,"JSON_RESULTS:{""total_tests"": 6, ""passed"": 5, ""failed"": 1, ""test_results"": [{""test_id"": 0, ""passed"": true, ""message"": ""Test 1 passed"", ""test_case"": {""assertion"": ""assert add(x, y) == x + y""}}, {""test_i"
HumanEval/54,True,None,513.6401653289795,7,7,Easy,
HumanEval/55,True,None,540.0528907775879,5,5,Medium,
HumanEval/56,True,None,444.84400749206543,12,12,Hard,
HumanEval/57,True,None,480.7248115539551,8,8,Easy,
HumanEval/58,True,None,491.8358325958252,4,4,Hard,
HumanEval/59,True,None,452.9085159301758,5,5,Hard,
HumanEval/60,True,None,464.79105949401855,5,5,Easy,
HumanEval/61,True,None,523.8227844238281,12,12,Hard,
HumanEval/62,True,None,464.30206298828125,5,5,Easy,
HumanEval/63,True,None,503.19409370422363,7,7,Hard,
HumanEval/64,True,None,643.6409950256348,8,8,Medium,
HumanEval/65,True,None,482.860803604126,5,5,Medium,
HumanEval/66,True,None,448.05383682250977,10,10,Medium,
HumanEval/67,True,None,503.9176940917969,7,7,Medium,
HumanEval/68,True,None,510.61105728149414,10,10,Easy,
HumanEval/69,True,None,490.3981685638428,25,25,Hard,
HumanEval/70,True,None,474.1482734680176,10,10,Medium,
HumanEval/71,True,None,519.4671154022217,9,9,Medium,
HumanEval/72,True,None,454.8366069793701,6,6,Hard,
HumanEval/73,True,None,458.0094814300537,8,8,Medium,
HumanEval/74,True,None,508.49223136901855,11,11,Hard,
HumanEval/75,True,None,695.7054138183594,10,10,Hard,
HumanEval/76,True,None,533.672571182251,10,10,Medium,
HumanEval/77,True,None,450.81400871276855,8,8,Easy,
HumanEval/78,True,None,543.2589054107666,7,7,Medium,
HumanEval/79,True,None,489.9604320526123,5,5,Easy,
HumanEval/80,True,None,494.43578720092773,8,8,Hard,
HumanEval/81,True,None,571.3393688201904,7,7,Hard,
HumanEval/82,True,None,491.40405654907227,16,16,Hard,
HumanEval/83,True,None,460.6623649597168,7,7,Easy,
HumanEval/84,True,None,568.9713954925537,7,7,Easy,
HumanEval/85,True,None,445.770263671875,4,4,Easy,
HumanEval/86,True,None,453.9341926574707,8,8,Easy,
HumanEval/87,False,SyntaxError,466.0830497741699,7,0,Medium,"File ""/tmp/test"", line 12
    return True, ""Test 1 passed""
    ^
SyntaxError: invalid syntax"
HumanEval/88,True,None,571.469783782959,9,9,Easy,
HumanEval/89,True,None,531.8372249603271,8,8,Hard,
HumanEval/90,True,None,482.9380512237549,8,8,Easy,
HumanEval/91,True,None,471.498966217041,7,7,Medium,
HumanEval/92,True,None,441.8642520904541,10,10,Medium,
HumanEval/93,True,None,452.29482650756836,5,5,Medium,
HumanEval/94,True,None,480.4997444152832,9,9,Hard,
HumanEval/95,True,None,511.3105773925781,7,7,Hard,
HumanEval/96,True,None,519.5658206939697,10,10,Hard,
HumanEval/97,True,None,438.5814666748047,8,8,Easy,
HumanEval/98,True,None,433.1636428833008,8,8,Medium,
HumanEval/99,True,None,571.5007781982422,5,5,Hard,
HumanEval/100,True,None,514.6684646606445,6,6,Easy,
HumanEval/101,True,None,458.3611488342285,8,8,Hard,
HumanEval/102,True,None,442.5525665283203,8,8,Hard,
HumanEval/103,True,None,441.8509006500244,12,12,Medium,
HumanEval/104,True,None,508.1512928009033,5,5,Hard,
HumanEval/105,True,None,458.6184024810791,7,7,Hard,
HumanEval/106,True,None,551.2514114379883,4,4,Hard,
HumanEval/107,True,None,529.5162200927734,8,8,Hard,
HumanEval/108,True,None,441.86973571777344,9,9,Hard,
HumanEval/109,True,None,502.0730495452881,5,5,Hard,
HumanEval/110,True,None,497.18475341796875,7,7,Hard,
HumanEval/111,True,None,460.51883697509766,8,8,Hard,
HumanEval/112,True,None,486.7870807647705,9,9,Medium,
HumanEval/113,False,SyntaxError,512.8488540649414,4,0,Medium,"File ""/tmp/test"", line 33
    return True, ""Test 3 passed""
    ^
SyntaxError: invalid syntax"
HumanEval/114,True,None,490.506649017334,12,12,Hard,
HumanEval/115,True,None,568.8896179199219,7,7,Easy,
HumanEval/116,True,None,451.671838760376,10,10,Easy,
HumanEval/117,True,None,493.97921562194824,7,7,Hard,
HumanEval/118,True,None,480.5340766906738,14,14,Hard,
HumanEval/119,True,None,497.7259635925293,12,12,Hard,
HumanEval/120,True,None,457.7629566192627,11,11,Medium,
HumanEval/121,True,None,473.94776344299316,7,7,Easy,
HumanEval/122,True,None,460.13617515563965,5,5,Easy,
HumanEval/123,True,None,484.36760902404785,4,4,Hard,
HumanEval/124,True,None,449.5847225189209,16,16,Hard,
HumanEval/125,True,None,517.7648067474365,8,8,Hard,
HumanEval/126,True,None,489.1011714935303,13,13,Hard,
HumanEval/127,True,None,448.9479064941406,8,8,Hard,
HumanEval/128,True,None,445.4522132873535,10,10,Medium,
HumanEval/129,True,None,517.3392295837402,11,11,Hard,
HumanEval/130,True,None,579.9531936645508,10,10,Hard,
HumanEval/131,True,None,515.6679153442383,7,7,Hard,
HumanEval/132,True,None,465.731143951416,14,14,Hard,
HumanEval/133,True,None,442.4762725830078,12,12,Medium,
HumanEval/134,True,None,445.3399181365967,11,11,Easy,
HumanEval/135,True,None,518.7892913818359,5,5,Hard,
HumanEval/136,True,None,577.3818492889404,12,12,Medium,
HumanEval/137,True,None,531.0173034667969,9,9,Medium,
HumanEval/138,True,None,465.3356075286865,8,8,Easy,
HumanEval/139,True,None,509.9494457244873,4,4,Medium,
HumanEval/140,True,None,487.7486228942871,5,5,Hard,
HumanEval/141,True,None,525.3887176513672,26,26,Hard,
HumanEval/142,True,None,451.53236389160156,11,11,Hard,
HumanEval/143,True,None,433.6276054382324,7,7,Hard,
HumanEval/144,True,None,511.0311508178711,13,13,Medium,
HumanEval/145,True,None,496.2608814239502,7,7,Hard,
HumanEval/146,True,None,502.7287006378174,7,7,Hard,
HumanEval/147,True,None,492.0930862426758,4,4,Hard,
HumanEval/148,True,None,499.15337562561035,7,7,Hard,
HumanEval/149,True,None,464.48278427124023,7,7,Medium,
HumanEval/150,True,None,440.65356254577637,10,10,Hard,
HumanEval/151,False,Other,440.9012794494629,7,6,Easy,"JSON_RESULTS:{""total_tests"": 7, ""passed"": 6, ""failed"": 1, ""test_results"": [{""test_id"": 0, ""passed"": true, ""message"": ""Test 1 passed"", ""test_case"": {""assertion"": ""assert double_the_difference(lst) == o"
HumanEval/152,True,None,444.1220760345459,5,5,Easy,
HumanEval/153,True,None,450.6967067718506,9,9,Hard,
HumanEval/154,True,None,442.77215003967285,6,6,Hard,
HumanEval/155,True,None,456.9211006164551,9,9,Hard,
HumanEval/156,True,None,484.7114086151123,15,15,Hard,
HumanEval/157,True,None,475.07500648498535,11,11,Easy,
HumanEval/158,True,None,462.7387523651123,10,10,Easy,
HumanEval/159,True,None,542.6461696624756,8,8,Medium,
HumanEval/160,True,None,494.7688579559326,4,4,Medium,
HumanEval/161,True,None,494.00782585144043,8,8,Hard,
HumanEval/162,True,None,490.4160499572754,5,5,Easy,
HumanEval/163,True,None,506.5770149230957,5,5,Medium,
